name,dob,outcome_type,outcome_subtype,outcome_datetime,sex,color,age,breed
Oreo,2016-09-08,Transfer,Partner,2019-11-07 00:00:00,Intact Male,Black/White,3 years,Australian Cattle Dog
*Brook,2014-03-24,Transfer,Partner,2017-03-06 14:30:00,Spayed Female,Black/White,2 years,Labrador Retriever
Unknown,2015-03-06,Adoption,Offsite,2015-05-02 21:39:00,Neutered Male,Tan,1 month,Labrador Retriever
888721,2023-09-05,Transfer,Partner,2023-09-22 17:26:00,Intact Female,White,2 weeks,Labrador Retriever
*Hook Em,2017-11-26,Transfer,Partner,2018-12-04 15:36:00,Neutered Male,Red/White,1 year,Harrier
*Daryl,2023-06-02,Adoption,Foster,2024-02-01 10:54:00,Neutered Male,Tricolor,8 months,Labrador Retriever
Cookie,2017-11-19,Adoption,Foster,2019-06-18 14:12:00,Spayed Female,White/Brown Brindle,1 year,Australian Cattle Dog
*Flower,2020-06-19,Adoption,Foster,2020-09-19 09:44:00,Spayed Female,Black,3 months,Labrador Retriever
Unknown,2023-11-28,Transfer,Partner,2023-12-15 16:17:00,Intact Female,Black/Brown,2 weeks,Rottweiler
Kamrie,2018-02-16,Adoption,Foster,2024-02-12 10:53:00,Spayed Female,Black/White,5 years,Border Collie
Unknown,2018-12-06,Adoption,Foster,2019-02-05 09:51:00,Neutered Male,Black,1 month,Labrador Retriever
Jolly,2018-09-12,Transfer,Partner,2018-12-04 13:03:00,Intact Male,White/Tan,2 months,Lhasa Apso
*Virginia,2022-01-14,Transfer,Out State,2022-04-29 10:55:00,Spayed Female,Brown/Black,3 months,Labrador Retriever
Unknown,2013-04-15,Euthanasia,Rabies Risk,2017-04-16 16:55:00,Intact Male,Black,4 years,Labrador Retriever
Jake,2007-05-25,Adoption,Foster,2015-07-06 11:10:00,Neutered Male,Tan,8 years,Labrador Retriever
*Dakota,2019-01-07,Transfer,Partner,2019-08-14 14:52:00,Intact Female,Cream/Black,7 months,Siberian Husky
Brownie,2019-12-21,Transfer,Partner,2021-12-30 14:37:00,Intact Male,Brown/White,2 years,Lhasa Apso
*Miley,2009-01-03,Transfer,Partner,2015-01-09 11:29:00,Spayed Female,Gray,6 years,Miniature Schnauzer
*Blue,2014-01-12,Adoption,Foster,2014-03-18 08:54:00,Neutered Male,White,2 months,Maltese
*Yara,2019-08-05,Transfer,Partner,2019-10-10 12:58:00,Intact Female,Tricolor,2 months,Rat Terrier
Tito,2009-04-24,Transfer,Partner,2016-06-24 13:14:00,Neutered Male,Black,7 years,Cocker Spaniel
*Helena,2012-09-28,Transfer,Partner,2013-12-31 17:15:00,Spayed Female,Brown Brindle/White,1 year,Plott Hound
A875057,2022-02-21,Transfer,Partner,2023-02-27 13:05:00,Intact Female,Tan/White,1 year,Papillon
Unknown,2024-01-29,Transfer,Partner,2024-05-29 12:13:00,Intact Female,Brown,3 months,Labrador Retriever
Arnie,2012-10-26,Transfer,Partner,2014-10-30 14:05:00,Intact Male,Black/Tan,2 years,Rat Terrier
Unknown,2015-04-19,Transfer,Partner,2015-06-19 00:00:00,Unknown,Black,1 month,Boxer
Unknown,2010-12-12,Transfer,Partner,2013-12-13 11:52:00,Intact Female,Black/White,3 years,Shih Tzu
Wisdom,2022-07-14,Return to Owner,Field,2024-06-11 14:39:00,Spayed Female,Black/White,1 year,Labrador Retriever
*Babs,2015-11-30,Transfer,Partner,2016-01-23 16:01:00,Intact Female,Yellow,1 month,Labrador Retriever
Unknown,2016-01-29,Transfer,Partner,2017-02-02 12:52:00,Intact Female,Fawn,1 year,Pekingese
Kevin,2014-07-22,Euthanasia,Aggressive,2021-06-28 13:48:00,Neutered Male,Tan,6 years,Labrador Retriever
Mama Dog,2015-12-04,Transfer,Partner,2020-12-08 14:45:00,Spayed Female,Tan/White,5 years,Labrador Retriever
Unknown,2016-03-30,Adoption,Foster,2016-06-14 12:12:00,Neutered Male,Black/White,2 months,Australian Cattle Dog
Unknown,2016-02-21,Euthanasia,Suffering,2017-02-22 16:49:00,Intact Female,Black,1 year,Labrador Retriever
Unknown,2015-02-10,Transfer,Partner,2015-04-04 13:27:00,Intact Female,Tricolor,1 month,Rat Terrier
Chuy,2014-08-14,Adoption,Foster,2020-01-03 14:22:00,Neutered Male,Black/White,5 years,American Bulldog
*Sammie,2002-12-11,Transfer,Partner,2016-12-20 18:37:00,Spayed Female,Black/White,14 years,Rat Terrier
Unknown,2023-05-01,Transfer,Partner,2023-08-13 14:51:00,Intact Female,White/Black,3 months,Australian Cattle Dog
Mamas,2013-12-07,Transfer,Partner,2015-12-08 16:10:00,Spayed Female,Buff,2 years,Pomeranian
Unknown,2015-12-16,Transfer,Partner,2017-12-21 12:44:00,Neutered Male,White/Black,2 years,Shih Tzu
A848020,2021-09-13,Transfer,Partner,2021-12-19 12:24:00,Intact Female,Brown/White,3 months,Vizsla
Pantera,2022-01-20,Transfer,Partner,2022-09-23 12:08:00,Intact Female,Black/White,8 months,Labrador Retriever
*Cookie,2015-08-26,Adoption,Offsite,2017-04-15 15:15:00,Spayed Female,Brown/Tan,1 year,Bulldog
*Pippa,2015-07-02,Transfer,Partner,2018-07-05 14:09:00,Intact Female,Red Merle/White,3 years,Australian Shepherd
Unknown,2018-01-04,Transfer,Partner,2018-09-11 14:41:00,Neutered Male,Tricolor/Tan,8 months,Australian Cattle Dog
Luna,2014-07-12,Transfer,Partner,2019-07-24 13:49:00,Intact Female,Red,5 years,Labrador Retriever
*Jordan,2019-10-01,Adoption,Foster,2019-12-06 16:46:00,Neutered Male,Gold/White,2 months,Labrador Retriever
Unknown,2018-04-02,Transfer,Partner,2018-12-06 12:17:00,Intact Male,White,8 months,Great Pyrenees
A856729,2022-03-07,Transfer,Partner,2022-05-10 14:00:00,Intact Female,White,2 months,Siberian Husky
Rat,2011-04-18,Adoption,Foster,2021-05-25 11:49:00,Neutered Male,Tricolor,10 years,Rat Terrier
Moon Pie,2004-04-10,Transfer,Partner,2014-04-17 14:52:00,Neutered Male,Red,10 years,Dachshund
Pinky,2019-05-03,Transfer,Partner,2019-06-07 13:46:00,Intact Female,Black,5 weeks,Bloodhound
Unknown,2021-01-14,Transfer,Partner,2021-03-21 11:54:00,Intact Female,White/Black,2 months,Dalmatian
Unknown,2015-05-18,Transfer,Partner,2015-06-18 19:26:00,Unknown,Black/White,4 weeks,Border Collie
Rosco,2004-04-15,Transfer,Partner,2014-04-16 16:04:00,Intact Male,Tan/Black,10 years,Pug
Sagan,2018-07-14,Adoption,Foster,2018-12-14 16:50:00,Neutered Male,Chocolate/White,5 months,Pointer
Falco,2011-01-02,Adoption,Foster,2020-04-16 12:52:00,Neutered Male,Black/White,9 years,Labrador Retriever
Unknown,2021-08-16,Transfer,Partner,2024-08-20 00:00:00,Intact Male,Blue,3 years,American Bulldog
Leia,2020-07-26,Adoption,Foster,2020-10-12 19:01:00,Spayed Female,Brown/White,2 months,Labrador Retriever
Jules,2015-11-09,Transfer,Partner,2018-11-12 00:00:00,Intact Female,White/Tricolor,3 years,Harrier
*Pumpkin,2021-05-26,Transfer,Partner,2021-08-03 14:38:00,Intact Female,Black/Brown,2 months,Rottweiler
Unknown,2017-03-06,Died,At Vet,2017-05-07 11:38:00,Intact Female,Black/White,2 months,Labrador Retriever
*Munch,2012-04-04,Euthanasia,Behavior,2014-04-26 10:02:00,Intact Male,White/Black,2 years,Dogo Argentino
A841558,2021-06-30,Transfer,Partner,2021-09-03 11:04:00,Intact Female,Blue Merle/White,2 months,Australian Shepherd
Leia,2012-09-11,Adoption,Foster,2020-07-07 08:30:00,Spayed Female,Black/White,7 years,Akita
*Katie,2009-12-28,Transfer,Partner,2013-12-06 12:34:00,Spayed Female,Black/White,3 years,Labrador Retriever
Halo,2013-03-24,Transfer,Partner,2014-03-31 15:28:00,Neutered Male,Brown/Gray,1 year,Yorkshire Terrier
Magnolia,2017-03-08,Adoption,Foster,2017-05-11 15:01:00,Intact Female,Brown,2 months,Labrador Retriever
*Sasha,2013-07-08,Transfer,Partner,2015-07-21 14:58:00,Intact Female,Yellow,2 years,Labrador Retriever
Bella,2005-06-01,Transfer,Partner,2019-08-12 11:29:00,Intact Female,Tan,14 years,Lhasa Apso
Sol,2018-04-03,Adoption,Foster,2019-10-16 13:58:00,Spayed Female,Cream/White,1 year,Labrador Retriever
Unknown,2023-10-02,Transfer,Partner,2024-05-29 16:16:00,Neutered Male,Black,7 months,Labrador Retriever
Geno,2005-07-23,Transfer,Partner,2015-01-15 14:32:00,Neutered Male,White,9 years,Maltese
*Diamond,2018-03-07,Transfer,Partner,2020-04-21 10:32:00,Spayed Female,Brown Brindle,2 years,Plott Hound
Unknown,2019-03-01,Transfer,Partner,2019-03-12 17:00:00,Intact Female,Sable,1 weeks,Labrador Retriever
*Darrin,2022-01-19,Transfer,Out State,2022-04-29 10:56:00,Neutered Male,Tan,3 months,Siberian Husky
Capon,2015-09-07,Adoption,Foster,2022-12-06 13:54:00,Neutered Male,Tricolor,7 years,Australian Shepherd
*Petey,2021-04-06,Adoption,Foster,2024-02-14 11:36:00,Neutered Male,White/Black,2 years,American Bulldog
Buddy,2016-11-17,Transfer,Partner,2021-05-18 11:29:00,Neutered Male,Tan,4 years,Shih Tzu
Unknown,2017-06-02,Transfer,Partner,2017-07-22 16:40:00,Intact Female,Tan/White,1 month,Labrador Retriever
Ms. Piggly,2011-06-30,Transfer,Partner,2018-07-10 00:00:00,Intact Female,Black,7 years,Australian Cattle Dog
*Raven,2021-09-20,Transfer,Partner,2022-02-08 13:37:00,Spayed Female,Black/White,4 months,Labrador Retriever
*Dexter,2013-10-01,Transfer,Partner,2014-10-05 13:09:00,Intact Male,Black/Tan,1 year,Miniature Pinscher
Unknown,2016-02-11,Transfer,Partner,2016-05-26 17:13:00,Intact Male,Gold,3 months,Labrador Retriever
139,2017-01-04,Transfer,Partner,2017-10-04 17:48:00,Intact Female,Black,8 months,Labrador Retriever
*Sparky,2016-12-07,Adoption,Foster,2017-07-07 07:28:00,Neutered Male,Tan,6 months,Cairn Terrier
Blake,2022-02-12,Return to Owner,Field,2022-09-16 18:26:00,Neutered Male,White/Tan,7 months,Great Pyrenees
Sadie,2007-07-17,Transfer,Partner,2017-07-17 00:00:00,Unknown,Blue/Tan,10 years,Yorkshire Terrier
Brussels,2017-12-05,Adoption,Foster,2019-02-13 17:50:00,Neutered Male,Tan/Black,1 year,Belgian Malinois
Brayden,2015-07-03,Transfer,Partner,2016-07-07 11:30:00,Intact Male,Tan/Gray,1 year,Yorkshire Terrier
*Gabriella,2005-04-22,Transfer,Partner,2015-06-01 16:45:00,Spayed Female,Black/Tan,10 years,Rottweiler
Unknown,2024-04-17,Transfer,Partner,2024-04-23 18:15:00,Intact Male,Tan/White,6 days,Great Pyrenees
Unknown,2018-03-31,Transfer,Partner,2018-04-04 13:10:00,Intact Male,White,4 days,Labrador Retriever
*Cranberry,2020-06-03,Adoption,Foster,2022-08-23 16:11:00,Spayed Female,Brown,2 years,Labrador Retriever
Hunter,2018-02-04,Transfer,Partner,2019-02-12 13:03:00,Neutered Male,Brown/Black,1 year,Belgian Malinois
*Dorothea,2008-02-01,Adoption,Foster,2016-03-05 17:43:00,Spayed Female,Brown/Tan,8 years,Yorkshire Terrier
Kevin,2014-07-22,Adoption,Foster,2019-09-19 11:05:00,Neutered Male,Tan,5 years,Labrador Retriever
*Almond,2019-02-16,Adoption,Foster,2019-05-24 11:26:00,Neutered Male,Brown Brindle,3 months,Plott Hound
*Bluegrass,2022-03-15,Transfer,Out State,2022-06-23 10:07:00,Intact Male,White,3 months,Great Pyrenees
George,2014-09-12,Transfer,Partner,2015-07-18 16:41:00,Neutered Male,White/Tricolor,10 months,Beagle
Monday,2005-06-02,Transfer,Partner,2014-06-15 15:50:00,Neutered Male,White,9 years,Miniature Schnauzer
Zara,2015-05-27,Euthanasia,Suffering,2019-05-27 14:32:00,Spayed Female,Black/White,4 years,Labrador Retriever
Unknown,2012-04-20,Transfer,Partner,2015-04-24 15:35:00,Intact Male,Brown/Black,3 years,Yorkshire Terrier
Unknown,2006-11-18,Transfer,Partner,2015-11-20 14:23:00,Neutered Male,White/Gray,9 years,Miniature Schnauzer
Gambit,2013-06-20,Transfer,Partner,2015-01-04 14:40:00,Neutered Male,Brown Brindle,1 year,Boxer
Mona,2017-10-08,Transfer,Partner,2019-10-10 12:22:00,Intact Female,Buff,2 years,Yorkshire Terrier
Unknown,2019-01-30,Adoption,Foster,2019-04-05 16:39:00,Neutered Male,Tan/White,2 months,Labrador Retriever
Unknown,2021-05-24,Transfer,Partner,2021-10-28 12:26:00,Intact Female,Cream,5 months,Great Pyrenees
Unknown,2009-04-19,Euthanasia,Suffering,2018-04-19 10:53:00,Intact Male,Black Brindle/White,9 years,Labrador Retriever
Eddie,2013-01-09,Euthanasia,Aggressive,2016-03-23 17:35:00,Neutered Male,White/Red,3 years,Australian Cattle Dog
*Jackson,2012-02-17,Adoption,Foster,2019-03-27 14:02:00,Neutered Male,Yellow,7 years,Labrador Retriever
Sadie,2014-05-10,Transfer,Partner,2018-05-16 15:59:00,Spayed Female,Tricolor/White,4 years,Australian Shepherd
*Tommy,2018-01-14,Transfer,Partner,2018-04-11 16:21:00,Intact Male,Brown/Tricolor,2 months,Great Pyrenees
*Noelle,2016-11-22,Adoption,Foster,2020-03-10 08:04:00,Spayed Female,Black/Tan,3 years,Australian Kelpie
Unknown,2020-02-06,Transfer,Partner,2023-02-10 11:39:00,Intact Female,Black/White,3 years,Whippet
*Frankie,2015-03-10,Transfer,Partner,2017-03-14 16:52:00,Neutered Male,Tan/Brown,2 years,Cairn Terrier
Unknown,2018-10-05,Transfer,Partner,2019-03-05 14:53:00,Spayed Female,Tricolor/Brown,4 months,Miniature Schnauzer
*Mateo,2014-11-11,Adoption,Foster,2015-01-07 17:59:00,Neutered Male,Buff,1 month,Labrador Retriever
*Wendy,2019-12-10,Adoption,Foster,2021-06-05 12:53:00,Spayed Female,White/Black,1 year,Australian Cattle Dog
Unknown,2016-03-31,Adoption,Foster,2016-06-04 17:06:00,Neutered Male,Sable/White,2 months,Labrador Retriever
Lady Lola,2014-06-22,Transfer,Partner,2016-06-24 16:24:00,Intact Female,White/Chocolate,2 years,Havanese
*Oscar,2002-11-10,Transfer,Partner,2016-11-14 12:03:00,Intact Male,White/Black,14 years,Shih Tzu
Unknown,2022-04-25,Transfer,Partner,2022-09-29 16:09:00,Intact Female,Tan/Black,5 months,Labrador Retriever
*Houston,2013-08-07,Transfer,Partner,2015-08-13 13:29:00,Neutered Male,Black/White,2 years,Pointer
Unknown,2013-08-11,Transfer,Partner,2013-10-14 17:06:00,Intact Female,Black/White,2 months,Labrador Retriever
Unknown,2024-05-12,Died,In Kennel,2024-05-15 11:36:00,Unknown,Black/Brown,3 days,Rottweiler
*Alley Cat,2015-06-23,Adoption,Offsite,2015-08-29 14:31:00,Spayed Female,Brown Brindle/White,2 months,Plott Hound
Unknown,2013-09-08,Transfer,Partner,2013-10-15 16:11:00,Intact Male,Sable/White,1 month,Australian Kelpie
Cheyenne,2012-11-10,Transfer,Partner,2019-11-14 12:19:00,Spayed Female,Brown/White,7 years,Australian Shepherd
*Soldier,2021-01-24,Adoption,Foster,2023-07-15 11:32:00,Neutered Male,Black,2 years,Mastiff
Unknown,2017-05-04,Transfer,Partner,2017-06-19 16:47:00,Intact Male,Tan/Black,1 month,Labrador Retriever
*Leona,2018-06-03,Transfer,Partner,2019-06-26 09:01:00,Intact Female,Black/Tan,1 year,Rottweiler
*Wendy,2018-04-25,Transfer,Partner,2018-06-19 11:33:00,Intact Male,Tan,1 month,Dachshund
Brisket,2012-07-03,Transfer,Partner,2017-07-03 15:05:00,Intact Male,White/Tan,5 years,Pekingese
Unknown,2015-03-22,Euthanasia,Suffering,2015-06-25 10:13:00,Intact Female,White/Tan,3 months,Whippet
Sade Willow,2016-01-27,Transfer,Partner,2018-02-10 15:09:00,Spayed Female,Tan/Black,2 years,Bullmastiff
Unknown,2019-05-02,Transfer,Partner,2019-09-12 12:59:00,Intact Male,Black/White,4 months,Labrador Retriever
Siete,2015-09-01,Transfer,Partner,2023-06-22 11:04:00,Intact Male,White,7 years,Bichon Frise
Bretito,2008-11-14,Transfer,Partner,2023-05-18 11:48:00,Neutered Male,Tan,14 years,Maltese
*Harper,2013-05-01,Transfer,Partner,2016-05-24 18:52:00,Neutered Male,Tricolor,3 years,Basset Hound
Unknown,2013-04-23,Transfer,Partner,2016-04-29 13:50:00,Neutered Male,Tricolor,3 years,Pekingese
Bubba,2017-12-06,Transfer,Partner,2022-03-01 13:08:00,Neutered Male,Tricolor,4 years,Australian Shepherd
*Sybil,2015-11-20,Transfer,Partner,2016-03-06 00:00:00,Intact Female,Buff/White,3 months,Labrador Retriever
*Nemo,2014-11-09,Transfer,Partner,2015-11-15 12:27:00,Neutered Male,White,1 year,Cairn Terrier
Unknown,2015-06-07,Transfer,Partner,2015-09-09 13:56:00,Intact Female,Black/Tan,3 months,Australian Kelpie
Pythagerus,2003-09-11,Died,In Kennel,2015-03-23 12:39:00,Spayed Female,Black,11 years,Rottweiler
Unknown,2016-05-09,Transfer,Partner,2016-08-13 16:05:00,Intact Female,Black/White,3 months,Pointer
*Storm,2024-06-09,Transfer,Partner,2024-07-11 15:00:00,Intact Female,White/Black,4 weeks,Carolina Dog
Unknown,2017-10-29,Transfer,Partner,2020-11-04 13:24:00,Neutered Male,White,3 years,Great Pyrenees
Charlotte,2018-04-26,Transfer,Partner,2018-12-28 14:01:00,Intact Female,Red/White,8 months,Golden Retriever
*Grady,2014-10-20,Transfer,Partner,2016-10-26 00:00:00,Neutered Male,White/Tricolor,2 years,Rat Terrier
Junior,2020-06-08,Euthanasia,Aggressive,2022-02-09 16:01:00,Neutered Male,Black/White,1 year,Labrador Retriever
Cowboy,2014-07-26,Euthanasia,Court/Investigation,2017-06-27 14:56:00,Intact Male,Brown/Black,2 years,Boxer
Kami,2015-07-14,Transfer,Partner,2015-09-10 14:06:00,Intact Female,Brown/White,1 month,Dachshund
Unknown,2019-01-30,Adoption,Foster,2019-04-06 11:23:00,Spayed Female,Tricolor,2 months,Labrador Retriever
*Sheila,2016-02-23,Transfer,Partner,2017-02-23 13:10:00,Spayed Female,Gray/Brown,1 year,Miniature Schnauzer
Unknown,2021-10-27,Adoption,Foster,2021-12-29 11:18:00,Neutered Male,Yellow,2 months,Labrador Retriever
*Melly,2007-07-18,Transfer,Partner,2013-10-21 15:08:00,Spayed Female,Black/Tan,6 years,Beauceron
Baxter,2018-02-06,Transfer,Partner,2019-02-07 18:42:00,Neutered Male,Tan,1 year,Soft Coated Wheaten Terrier
Unknown,2021-06-05,Transfer,Partner,2021-08-21 11:06:00,Intact Male,Black/Tan,2 months,Rottweiler
Steve,2012-12-01,Euthanasia,Suffering,2014-12-01 15:42:00,Intact Male,Tricolor,2 years,Rat Terrier
T'Challa,2018-10-04,Transfer,Partner,2019-03-05 13:36:00,Neutered Male,Black/White,4 months,Labrador Retriever
Unknown,2013-09-06,Adoption,Foster,2014-01-30 12:03:00,Spayed Female,Brown/White,4 months,American Bulldog
*Max,2013-07-01,Transfer,Partner,2014-01-06 15:29:00,Intact Male,Black/Tan,6 months,Labrador Retriever
*Frankenweenie,2018-10-23,Transfer,Partner,2019-10-30 14:33:00,Intact Male,Black/White,1 year,Labrador Retriever
*Ace,2019-03-07,Adoption,Foster,2020-02-27 12:19:00,Neutered Male,Black/White,11 months,Border Collie
Jack,2019-09-04,Transfer,Partner,2020-09-10 09:44:00,Neutered Male,White/Gray,1 year,Shih Tzu
*Rooney,2016-12-06,Transfer,Partner,2017-06-02 13:21:00,Intact Male,Red/White,5 months,Australian Cattle Dog
*Stryker,2013-10-22,Transfer,Partner,2015-02-04 14:29:00,Neutered Male,White/Black,1 year,American Bulldog
Unknown,2020-09-20,Adoption,Foster,2020-12-02 13:08:00,Spayed Female,White,2 months,Siberian Husky
*Emmy,2020-01-20,Transfer,Partner,2021-01-28 13:10:00,Spayed Female,White/Brown,1 year,Siberian Husky
Pudge,2014-08-16,Transfer,Partner,2020-02-18 12:18:00,Intact Female,White/Black,5 years,Australian Cattle Dog
Dapple,2013-05-18,Transfer,Partner,2016-06-02 12:07:00,Intact Female,White/Black,3 years,Pointer
*Llano,2016-07-11,Adoption,Foster,2017-05-30 11:50:00,Neutered Male,Blue Merle/White,10 months,Australian Cattle Dog
*Petunia,2015-02-19,Adoption,Foster,2016-09-08 10:56:00,Spayed Female,Black,1 year,Labrador Retriever
Unknown,2014-01-11,Transfer,Partner,2014-03-29 19:28:00,Intact Male,Cream,2 months,Labrador Retriever
Cooper,2010-02-25,Transfer,Partner,2015-03-22 17:16:00,Neutered Male,Black,5 years,Labrador Retriever
Optimusprime,2009-06-25,Transfer,Partner,2014-07-03 15:27:00,Neutered Male,Brown/White,5 years,Boxer
A858126,2020-05-25,Transfer,Partner,2022-05-31 15:28:00,Intact Male,White,2 years,Cairn Terrier
Margie,2005-05-03,Adoption,Foster,2016-08-19 15:22:00,Spayed Female,Black/Tan,11 years,Miniature Pinscher
Unknown,2020-02-14,Transfer,Partner,2020-04-18 10:42:00,Intact Male,Blue/Tan,2 months,Australian Shepherd
*Bindi Sue,2020-11-08,Adoption,Foster,2022-03-23 15:40:00,Spayed Female,White/Brown Brindle,1 year,Australian Cattle Dog
Unknown,2016-04-27,Transfer,Partner,2018-04-23 12:53:00,Spayed Female,White/Brown,1 year,Beagle
Luna,2016-08-09,Transfer,Partner,2018-08-09 15:58:00,Spayed Female,White/Black,2 years,Dachshund
*Yoakum,2013-12-22,Transfer,Partner,2015-12-28 17:17:00,Neutered Male,Red/White,2 years,Dachshund
*Philomena,2016-09-29,Transfer,Partner,2018-10-16 14:25:00,Intact Female,Black,2 years,Labrador Retriever
Trixie,2012-02-27,Transfer,Partner,2016-02-29 16:40:00,Spayed Female,Red,4 years,Dachshund
Melanie,2018-10-25,Transfer,Partner,2019-04-26 13:33:00,Intact Female,Black/Tan,6 months,Yorkshire Terrier
Daisy,2016-06-20,Adoption,Foster,2016-08-21 18:20:00,Spayed Female,Black/White,2 months,Border Collie
Unknown,2020-11-29,Transfer,Partner,2022-12-02 13:08:00,Intact Female,Tan,2 years,Pug
*Benji,2010-02-22,Transfer,Partner,2014-03-02 11:30:00,Neutered Male,Blue/Tan,4 years,Yorkshire Terrier
Unknown,2017-02-11,Adoption,Foster,2017-04-14 09:11:00,Spayed Female,White,2 months,Labrador Retriever
Unknown,2015-04-02,Adoption,Foster,2015-05-30 18:19:00,Spayed Female,Chocolate/White,1 month,Shih Tzu
Unknown,2023-03-01,Transfer,Partner,2024-03-03 14:17:00,Intact Female,Red Tick,1 year,Australian Cattle Dog
Unknown,2014-10-27,Transfer,Partner,2015-01-04 12:51:00,Spayed Female,Brown/Black,2 months,Akita
*Shoshonna,2014-03-27,Transfer,Partner,2016-04-07 00:00:00,Intact Female,Black/White,2 years,Labrador Retriever
*Boo,2018-10-16,Adoption,Foster,2019-11-12 17:43:00,Spayed Female,White/Yellow,1 year,Labrador Retriever
Unknown,2015-03-06,Adoption,Offsite,2015-05-02 20:45:00,Spayed Female,Sable,1 month,Labrador Retriever
*Duncan,2017-02-09,Adoption,Foster,2017-12-21 11:17:00,Neutered Male,Black/Black,10 months,Labrador Retriever
*Louann,2016-01-09,Euthanasia,Suffering,2019-01-09 11:45:00,Intact Female,White,3 years,Welsh Terrier
Digger,2017-11-18,Adoption,Foster,2019-02-02 16:28:00,Neutered Male,Blue Merle/White,1 year,Australian Shepherd
*Shakespeare,2018-07-29,Adoption,Foster,2020-08-24 15:43:00,Neutered Male,Tricolor,2 years,Siberian Husky
Unknown,2014-06-18,Transfer,Partner,2014-12-05 17:02:00,Spayed Female,Brown Brindle/White,5 months,Plott Hound
Canelo,2014-11-03,Transfer,Partner,2016-03-21 15:49:00,Neutered Male,Tan,1 year,Labrador Retriever
Unknown,2022-02-11,Transfer,In State,2022-04-17 11:03:00,Intact Female,Tan/Black,2 months,Labrador Retriever
Daffodil,2018-04-29,Adoption,Foster,2018-10-01 16:25:00,Spayed Female,Cream,5 months,Labrador Retriever
Kody,2016-01-08,Transfer,Partner,2019-01-11 13:20:00,Neutered Male,White/Red,3 years,Brittany
*Frito,2022-09-25,Adoption,Foster,2022-12-10 10:36:00,Spayed Female,Black,2 months,Labrador Retriever
Unknown,2018-04-20,Euthanasia,Suffering,2018-06-05 17:32:00,Intact Female,Black/Brown,1 month,Yorkshire Terrier
*Patina,2019-02-16,Transfer,Partner,2019-08-08 11:53:00,Intact Male,Tan/White,5 months,Labrador Retriever
*Melbourne,2022-10-23,Adoption,Foster,2023-01-02 11:38:00,Neutered Male,Black/White,2 months,Australian Shepherd
Maui,2017-01-12,Adoption,Foster,2018-04-25 17:49:00,Spayed Female,White/Black,1 year,Labrador Retriever
*Katy,2019-11-05,Transfer,Partner,2020-01-25 12:55:00,Spayed Female,Black/Tricolor,2 months,Great Pyrenees
Blu,2020-03-26,Adoption,Foster,2024-04-18 13:51:00,Neutered Male,Brown Brindle,4 years,Cane Corso
Unknown,2014-02-27,Transfer,Partner,2014-07-04 18:42:00,Neutered Male,Brown Brindle/Red Tick,4 months,Plott Hound
*Elsa,2021-03-18,Transfer,Out State,2021-09-28 10:28:00,Intact Female,White/Tan,6 months,Border Collie
*Carina,2015-12-15,Transfer,Partner,2016-02-21 00:00:00,Spayed Female,White/Tricolor,2 months,Pointer
*Theodora,2020-07-21,Transfer,Out State,2022-08-05 11:02:00,Intact Female,Black/White,2 years,Dachshund
*Antonio,2015-08-04,Transfer,Partner,2017-08-15 12:20:00,Neutered Male,Brown/Black,2 years,Boxer
Sky,2018-02-06,Transfer,Partner,2023-02-10 10:05:00,Intact Female,Black/Brown,5 years,Yorkshire Terrier
*Tilly,2009-04-15,Adoption,Foster,2017-07-27 13:39:00,Intact Female,Red,8 years,Dachshund
Nick,2015-11-30,Adoption,Foster,2022-09-14 15:57:00,Neutered Male,Chocolate/White,6 years,Labrador Retriever
*Twilight,2017-04-16,Transfer,Partner,2017-09-21 14:53:00,Intact Male,Black,5 months,Labrador Retriever
*Enzo,2022-11-12,Transfer,Partner,2023-03-16 15:21:00,Intact Male,Tricolor,4 months,Great Pyrenees
Wiggles,2023-03-07,Adoption,Foster,2024-07-27 17:34:00,Neutered Male,Red,1 year,Vizsla
Unknown,2013-03-11,Transfer,Partner,2020-03-15 14:17:00,Neutered Male,Brown,7 years,Papillon
Lennon,2013-10-26,Euthanasia,Aggressive,2014-11-15 11:14:00,Neutered Male,Tan/Buff,1 year,Whippet
Tammie,2011-01-27,Transfer,Partner,2014-01-31 12:58:00,Spayed Female,White/Black,3 years,Shih Tzu
*Ginger,2023-08-12,Adoption,Foster,2023-10-26 14:16:00,Spayed Female,White/Cream,2 months,Great Pyrenees
*Molly,2012-02-05,Transfer,Partner,2014-02-14 15:03:00,Spayed Female,Gray/Tan,2 years,Yorkshire Terrier
Unknown,2017-11-05,Transfer,Partner,2019-11-06 11:32:00,Intact Female,Red,2 years,Dachshund
*Hilda,2011-11-27,Adoption,Foster,2018-02-09 11:37:00,Spayed Female,Black/White,6 years,Labrador Retriever
*Bart,2011-06-07,Adoption,Foster,2021-06-19 14:59:00,Intact Male,Brown,10 years,Chow Chow
Daphne,2009-07-27,Transfer,Partner,2016-01-31 14:38:00,Spayed Female,Tricolor,6 years,Beagle
*Boris,2016-03-22,Transfer,Partner,2017-03-28 00:00:00,Neutered Male,Cream,1 year,Labrador Retriever
*Georgie,2017-05-09,Adoption,Foster,2018-07-20 11:36:00,Spayed Female,Black/White,1 year,Labrador Retriever
Nikole,2013-08-28,Adoption,Foster,2013-11-14 08:58:00,Spayed Female,Black/White,2 months,Labrador Retriever
